KOD,MESTO,VOLICI V SEZNAMU,VYDANE OBALKY,PLATNE HLASY,Obèanská demokratická strana v %,Øád národa - Vlastenecká unie v %,CESTA ODPOVÌDNÉ SPOLEÈNOSTI v %,Èeská str.sociálnì demokratická v %,Cibulka v %,Radostné Èesko v %,STAROSTOVÉ A NEZÁVISLÍ v %,Komunistická str.Èech a Moravy v %,Strana zelenıch v %,"ROZUMNÍ-stop migraci,diktát.EU v %",Spoleè.proti vıst.v Prok.údolí v %,Strana svobodnıch obèanù v %,Blok proti islam.-Obran.domova v %,Obèanská demokratická aliance v %,Èeská pirátská strana v %,OBÈANÉ 2011-SPRAVEDL. PRO LIDI v %,Unie H.A.V.E.L. v %,Èeská národní fronta v %,Referendum o Evropské unii v %,TOP 09 v %,ANO 2011 v %,Dobrá volba 2016 v %,Èeská strana národnì sociální v %,SPR-Republ.str.Èsl. M.Sládka v %,Køes.demokr.unie-Ès.str.lid. v %,REALISTÉ v %,SPORTOVCI v %,Dìlnic.str.sociální spravedl. v %,Svob.a pø.dem.-T.Okamura (SPD) v %,Strana Práv Obèanù v %,Narod_sobì v %
552089,Tovéø,483,339,334,"11,97","0,59","0,00","3,29",nekandiduje,"0,00","5,38","5,38","2,09","0,00",nekandiduje,"0,59","0,00","0,00","12,57",nekandiduje,nekandiduje,nekandiduje,"0,29","6,88","32,63","0,00","0,00","0,00","7,48","1,79","0,00","0,00","7,78","1,19",nekandiduje
505293,Troubelice,1 515,937,933,"6,85","0,10","0,10","7,82",nekandiduje,"0,10","6,32","9,43","0,53","0,75",nekandiduje,"0,75","0,42","0,00","8,46",nekandiduje,nekandiduje,nekandiduje,"0,10","3,75","28,40","0,21","0,32","0,10","9,75","0,21","0,21","0,42","14,25","0,53",nekandiduje
505366,Tršice,1 325,811,808,"7,67","0,00","0,00","7,54",nekandiduje,"0,12","3,21","9,52","0,49","0,99",nekandiduje,"1,98","0,00","0,12","9,90",nekandiduje,nekandiduje,nekandiduje,"0,00","2,72","36,01","0,00","0,12","0,00","6,93","0,49","0,00","0,24","11,75","0,12",nekandiduje
505501,Újezd,1 163,653,652,"5,98","0,00","0,00","8,28",nekandiduje,"0,00","2,91","9,50","0,46","0,92",nekandiduje,"0,92","0,30","0,61","7,20",nekandiduje,nekandiduje,nekandiduje,"0,30","1,22","38,19","0,15","0,00","0,15","6,59","1,38","0,46","0,15","13,80","0,46",nekandiduje
505587,Unièov,9 410,5 331,5 298,"10,11","0,07","0,16","8,32",nekandiduje,"0,11","3,09","9,87","0,92","0,88",nekandiduje,"0,88","0,07","0,22","10,34",nekandiduje,nekandiduje,nekandiduje,"0,03","3,54","33,38","0,05","0,00","0,11","5,13","0,52","0,24","0,15","11,41","0,26",nekandiduje
552364,Ústín,336,224,221,"13,57","0,00","0,00","7,69",nekandiduje,"0,90","3,61","5,42","0,90","1,35",nekandiduje,"0,45","0,45","0,00","7,69",nekandiduje,nekandiduje,nekandiduje,"0,00","3,61","22,62","0,00","0,00","0,00","11,76","1,35","0,90","0,00","17,64","0,00",nekandiduje
505609,Velká Bystøice,2 588,1 698,1 684,"11,57","0,11","0,23","6,23",nekandiduje,"0,17","4,03","6,88","1,18","0,65",nekandiduje,"1,18","0,17","0,17","9,67",nekandiduje,nekandiduje,nekandiduje,"0,05","4,69","29,75","0,11","0,05","0,35","10,03","0,59","0,35","0,65","10,39","0,59",nekandiduje
505650,Velkı Tınec,2 193,1 437,1 423,"7,73","0,00","0,00","7,51",nekandiduje,"0,07","3,58","5,69","1,26","0,77",nekandiduje,"2,17","0,42","0,42","11,03",nekandiduje,nekandiduje,nekandiduje,"0,07","3,51","29,65","0,00","0,00","0,56","9,83","0,70","0,14","0,14","14,26","0,42",nekandiduje
505668,Velkı Újezd,1 042,629,624,"9,77","0,00","0,16","7,69",nekandiduje,"0,48","3,68","5,76","1,12","1,12",nekandiduje,"0,48","0,16","0,16","8,01",nekandiduje,nekandiduje,nekandiduje,"0,16","4,32","36,69","0,00","0,00","0,00","6,73","0,00","0,96","0,16","12,17","0,16",nekandiduje
552119,Vìrovany,1 123,644,638,"8,46","0,00","0,15","6,26",nekandiduje,"0,00","2,82","7,83","1,41","0,00",nekandiduje,"0,94","0,31","0,00","6,89",nekandiduje,nekandiduje,nekandiduje,"0,31","1,88","34,01","0,31","0,15","0,00","13,79","0,47","0,62","0,15","13,00","0,15",nekandiduje
568961,Vilémov,351,235,235,"6,38","0,00","0,00","12,34",nekandiduje,"0,85","6,80","8,08","3,40","0,42",nekandiduje,"2,97","0,00","0,00","1,27",nekandiduje,nekandiduje,nekandiduje,"0,00","1,27","24,25","0,00","0,00","0,42","16,17","1,27","0,85","0,42","12,76","0,00",nekandiduje
552399,elechovice,184,129,128,"5,46","0,00","0,00","9,37",nekandiduje,"0,00","2,34","2,34","0,78","0,00",nekandiduje,"0,78","0,78","0,00","10,93",nekandiduje,nekandiduje,nekandiduje,"0,00","1,56","32,03","0,00","0,00","2,34","17,18","1,56","0,00","0,00","12,50","0,00",nekandiduje
505862,erotín,376,220,219,"9,13","0,00","0,00","9,58",nekandiduje,"0,00","2,73","6,39","0,45","1,82",nekandiduje,"0,91","0,00","0,00","9,58",nekandiduje,nekandiduje,nekandiduje,"0,45","2,28","18,26","0,00","0,00","0,45","23,74","1,36","0,45","0,00","12,32","0,00",nekandiduje
