KÓD,MÌSTO,VOLIÈI V SEZNAMU,VYDANÉ OBALKY,PLATNÉ HLASY,Obèanská demokratická strana v %,Øád národa - Vlastenecká unie v %,CESTA ODPOVÌDNÉ SPOLEÈNOSTI v %,Èeská str.sociálnì demokratická v %,Cibulka v %,Radostné Èesko v %,STAROSTOVÉ A NEZÁVISLÍ v %,Komunistická str.Èech a Moravy v %,Strana zelenıch v %,"ROZUMNÍ-stop migraci,diktát.EU v %",Spoleè.proti vıst.v Prok.údolí v %,Strana svobodnıch obèanù v %,Blok proti islam.-Obran.domova v %,Obèanská demokratická aliance v %,Èeská pirátská strana v %,OBÈANÉ 2011-SPRAVEDL. PRO LIDI v %,Unie H.A.V.E.L. v %,Èeská národní fronta v %,Referendum o Evropské unii v %,TOP 09 v %,ANO 2011 v %,Dobrá volba 2016 v %,SPR-Republ.str.Èsl. M.Sládka v %,Køes.demokr.unie-Ès.str.lid. v %,Èeská strana národnì sociální v %,REALISTÉ v %,SPORTOVCI v %,Dìlnic.str.sociální spravedl. v %,Svob.a pø.dem.-T.Okamura (SPD) v %,Strana Práv Obèanù v %,Narod_sobì v %
585459,Luhaèovice,4 784,3 247,3 232,"10,48","0,12","0,09","6,09",nekandiduje,"0,03","4,91","6,68","1,42","0,46",nekandiduje,"2,35","0,03","0,15","9,15",nekandiduje,nekandiduje,nekandiduje,"0,03","4,05","29,08","0,06","0,15","10,98",nekandiduje,"1,36","0,12","0,03","10,82","1,26",nekandiduje
585467,Lukov,1 443,945,941,"14,24","0,42","0,00","6,48",nekandiduje,"0,00","6,37","5,41","0,95","0,42",nekandiduje,"1,38","0,00","0,10","8,07",nekandiduje,nekandiduje,nekandiduje,"0,00","2,65","27,84","0,00","0,21","14,87",nekandiduje,"0,21","0,00","0,10","9,03","1,16",nekandiduje
557145,Lukoveèek,343,259,258,"12,01","0,00","0,00","4,26",nekandiduje,"0,00","7,75","5,81","1,55","0,38",nekandiduje,"0,77","0,00","0,00","6,97",nekandiduje,nekandiduje,nekandiduje,"0,00","3,87","21,70","0,00","0,38","7,75",nekandiduje,"1,16","0,00","0,00","24,80","0,77",nekandiduje
585483,Lutonina,331,199,198,"7,07","1,01","0,00","7,07",nekandiduje,"0,50","7,57","10,60","2,02","2,52",nekandiduje,"0,50","1,01","0,00","6,06",nekandiduje,nekandiduje,nekandiduje,"0,00","2,02","37,87","0,00","0,00","4,04",nekandiduje,"0,50","0,00","0,00","8,08","1,51",nekandiduje
585491,Machová,505,310,307,"2,93","0,65","1,30","5,86",nekandiduje,"0,00","5,86","7,49","0,00","1,95",nekandiduje,"1,62","0,00","0,00","5,21",nekandiduje,nekandiduje,nekandiduje,"0,00","0,65","34,52","0,00","0,00","14,65",nekandiduje,"0,97","0,00","0,00","15,63","0,65",nekandiduje
585505,Mysloèovice,489,352,350,"11,42","0,00","0,00","4,85",nekandiduje,"0,00","8,57","6,85","0,00","0,57",nekandiduje,"1,14","0,00","0,28","7,42",nekandiduje,nekandiduje,nekandiduje,"0,57","2,28","20,85","0,00","0,85","18,28",nekandiduje,"0,57","0,28","0,00","14,28","0,85",nekandiduje
585513,Napajedla,5 961,3 750,3 695,"9,03","0,37","0,18","5,33",nekandiduje,"0,08","4,33","7,28","1,62","0,62",nekandiduje,"1,24","0,08","0,08","11,06",nekandiduje,nekandiduje,nekandiduje,"0,02","2,48","33,85","0,10","0,21","6,27",nekandiduje,"0,54","0,18","0,10","14,23","0,59",nekandiduje
585521,Návojná,573,340,338,"3,25","0,59","0,00","9,76",nekandiduje,"0,00","4,73","3,84","0,59","2,36",nekandiduje,"0,88","0,00","0,00","5,62",nekandiduje,nekandiduje,nekandiduje,"0,00","1,47","31,65","0,00","0,00","29,28",nekandiduje,"0,88","0,00","0,00","4,73","0,29",nekandiduje
585530,Nedašov,1 094,574,569,"4,04","0,00","0,00","9,66",nekandiduje,"0,00","3,86","3,86","0,17","0,70",nekandiduje,"0,70","0,35","0,00","3,33",nekandiduje,nekandiduje,nekandiduje,"0,00","1,75","31,28","0,00","0,17","33,21",nekandiduje,"0,35","0,17","0,00","6,15","0,17",nekandiduje
585548,Nedašova Lhota,548,322,320,"6,56","0,31","0,00","7,81",nekandiduje,"0,62","5,31","2,18","0,62","0,93",nekandiduje,"0,31","0,00","0,00","1,87",nekandiduje,nekandiduje,nekandiduje,"0,00","0,62","27,18","0,00","0,00","39,06",nekandiduje,"0,00","0,31","0,00","5,93","0,31",nekandiduje
585556,Neubuz,374,225,224,"5,35","0,00","0,00","3,57",nekandiduje,"0,00","14,28","6,25","0,44","0,00",nekandiduje,"1,78","0,00","0,00","4,91",nekandiduje,nekandiduje,nekandiduje,"0,44","2,67","26,78","0,00","0,44","12,94",nekandiduje,"0,44","0,44","0,44","17,41","1,33",nekandiduje
549444,Oldøichovice,324,207,206,"2,91","0,48","0,00","4,36",nekandiduje,"0,00","5,82","7,76","0,48","1,45",nekandiduje,"0,97","0,00","0,48","8,73",nekandiduje,nekandiduje,nekandiduje,"0,00","0,48","42,23","0,00","0,48","9,22",nekandiduje,"0,00","0,00","0,00","14,07","0,00",nekandiduje
557170,Ostrata,342,190,190,"7,36","0,00","0,00","5,78",nekandiduje,"0,00","7,89","1,57","0,00","0,00",nekandiduje,"1,05","0,00","1,05","7,36",nekandiduje,nekandiduje,nekandiduje,"0,00","5,26","37,36","0,00","1,05","8,94",nekandiduje,"1,57","0,00","0,00","13,68","0,00",nekandiduje
585599,Otrokovice,14 667,8 830,8 770,"7,14","0,30","0,11","8,27",nekandiduje,"0,07","4,52","6,07","1,35","0,58",nekandiduje,"1,72","0,07","0,07","9,72",nekandiduje,nekandiduje,nekandiduje,"0,10","2,24","33,97","0,04","0,13","6,24",nekandiduje,"1,07","0,22","0,09","15,18","0,58",nekandiduje
556874,Petrùvka,278,175,175,"10,85","0,00","0,00","9,71",nekandiduje,"0,57","7,42","10,85","0,00","0,00",nekandiduje,"0,57","0,00","0,00","9,71",nekandiduje,nekandiduje,nekandiduje,"0,00","0,57","24,00","0,00","0,00","12,00",nekandiduje,"1,14","0,00","0,00","12,00","0,57",nekandiduje
534811,Podhradí,171,120,120,"9,16","0,00","0,00","5,83",nekandiduje,"0,00","6,66","1,66","0,83","0,83",nekandiduje,"5,00","0,00","0,00","2,50",nekandiduje,nekandiduje,nekandiduje,"0,00","0,83","28,33","0,00","0,00","27,50",nekandiduje,"0,00","0,00","0,00","10,83","0,00",nekandiduje
585611,Podkopná Lhota,279,181,180,"7,77","0,00","0,00","6,66",nekandiduje,"0,00","3,88","7,77","0,55","1,11",nekandiduje,"1,66","0,00","0,00","5,55",nekandiduje,nekandiduje,nekandiduje,"0,00","0,55","31,66","0,55","0,00","15,00",nekandiduje,"0,00","0,00","0,00","16,66","0,55",nekandiduje
549461,Pohoøelice,721,499,494,"9,51","0,40","0,00","7,69",nekandiduje,"0,00","5,06","6,68","1,41","0,00",nekandiduje,"1,21","0,40","0,20","9,91",nekandiduje,nekandiduje,nekandiduje,"0,40","4,85","22,87","0,00","0,00","12,14",nekandiduje,"0,40","0,00","0,40","14,97","1,41",nekandiduje
549533,Poteè,624,443,442,"5,42","0,00","0,00","6,10",nekandiduje,"0,00","5,42","3,39","1,13","0,22",nekandiduje,"1,13","0,00","0,00","10,63",nekandiduje,nekandiduje,nekandiduje,"0,00","0,90","21,71","0,00","0,00","31,44",nekandiduje,"1,80","0,00","0,00","9,95","0,67",nekandiduje
549401,Pozlovice,1 062,757,750,"8,00","0,40","0,00","5,20",nekandiduje,"0,00","5,20","2,26","1,06","0,26",nekandiduje,"3,73","0,13","0,26","7,60",nekandiduje,nekandiduje,nekandiduje,"0,13","3,60","28,80","0,00","0,00","18,66",nekandiduje,"3,33","0,00","0,40","10,53","0,40",nekandiduje
