KOD,MESTO,VOLICI V SEZNAMU,VYDANE OBALKY,PLATNE HLASY,Obèanská demokratická strana v %,Øád národa - Vlastenecká unie v %,CESTA ODPOVÌDNÉ SPOLEÈNOSTI v %,Èeská str.sociálnì demokratická v %,Cibulka v %,Radostné Èesko v %,STAROSTOVÉ A NEZÁVISLÍ v %,Komunistická str.Èech a Moravy v %,Strana zelenıch v %,"ROZUMNÍ-stop migraci,diktát.EU v %",Spoleè.proti vıst.v Prok.údolí v %,Strana svobodnıch obèanù v %,Blok proti islam.-Obran.domova v %,Obèanská demokratická aliance v %,Èeská pirátská strana v %,OBÈANÉ 2011-SPRAVEDL. PRO LIDI v %,Unie H.A.V.E.L. v %,Èeská národní fronta v %,Referendum o Evropské unii v %,TOP 09 v %,ANO 2011 v %,Dobrá volba 2016 v %,SPR-Republ.str.Èsl. M.Sládka v %,Køes.demokr.unie-Ès.str.lid. v %,Èeská strana národnì sociální v %,REALISTÉ v %,SPORTOVCI v %,Dìlnic.str.sociální spravedl. v %,Svob.a pø.dem.-T.Okamura (SPD) v %,Strana Práv Obèanù v %,Narod_sobì v %
532762,Pozdeò,336,228,227,"10,57","0,00","0,00","10,13",nekandiduje,"0,00","3,96","13,65","1,32","1,32",nekandiduje,"0,88","0,44","0,44",15,nekandiduje,"0,00",nekandiduje,"0,00","6,16","37,00","0,00","0,44","1,32","0,00","0,00","0,00","0,00","5,72","0,00",nekandiduje
532771,Pøelíc,317,198,198,"7,57","0,00","0,00","5,05",nekandiduje,"0,00","6,56","7,07","1,01","2,52",nekandiduje,"2,02","0,00","0,50",24,nekandiduje,"0,00",nekandiduje,"0,50","5,55","39,89","0,00","0,00","0,50","0,00","1,51","0,50","0,00","6,56","0,50",nekandiduje
532797,Øisuty,290,194,193,"10,36","0,00","0,00","3,10",nekandiduje,"1,03","6,73","6,73","0,51","1,55",nekandiduje,"5,69","0,51","0,00",31,nekandiduje,"0,00",nekandiduje,"0,00","1,55","21,76","0,00","0,00","3,10","0,00","1,55","0,00","0,51","17,61","1,55",nekandiduje
532801,Sazená,257,159,158,"8,22","0,00","0,00","3,16",nekandiduje,"0,00","5,06","12,02","0,63","1,89",nekandiduje,"2,53","0,63","0,00",20,nekandiduje,"0,00",nekandiduje,"0,00","1,26","27,21","0,00","0,63","3,16","0,00","0,00","0,63","0,00","20,25","0,00",nekandiduje
532819,Slanı,12 020,6 948,6 919,"12,38","0,15","0,05","7,38",nekandiduje,"0,07","5,94","8,22","1,63","0,56",nekandiduje,"2,47","0,11","0,15",791,nekandiduje,"0,01",nekandiduje,"0,08","4,81","30,72","0,08","0,21","1,93","0,00","0,63","0,18","0,40","9,98","0,30",nekandiduje
532827,Slatina,448,291,289,"11,07","0,00","0,00","5,53",nekandiduje,"0,00","8,99","14,18","0,69","0,00",nekandiduje,"1,38","0,00","0,00",24,nekandiduje,"0,00",nekandiduje,"0,00","2,42","31,48","0,00","0,00","2,76","0,00","1,03","0,00","0,69","11,07","0,34",nekandiduje
532835,Smeèno,1 472,790,787,"12,57","0,12","0,12","6,86",nekandiduje,"0,25","8,64","10,54","1,65","0,76",nekandiduje,"1,14","0,00","0,00",68,nekandiduje,"0,00",nekandiduje,"0,12","3,93","26,81","0,25","0,38","3,17","0,12","0,88","0,38","0,00","12,45","0,12",nekandiduje
532851,Stehelèeves,616,392,391,"16,11","0,25","0,00","3,83",nekandiduje,"0,25","8,69","11,25","1,79","0,51",nekandiduje,"1,27","0,00","0,00",51,nekandiduje,"0,00",nekandiduje,"0,25","6,90","20,97","0,00","0,25","1,53","0,00","1,02","0,00","0,00","12,02","0,00",nekandiduje
532860,Stochov,4 432,2 325,2 310,"8,05","0,08","0,00","11,55",nekandiduje,"0,12","6,53","9,87","0,73","1,86",nekandiduje,"1,68","0,04","0,04",203,nekandiduje,"0,12",nekandiduje,"0,08","2,42","30,99","0,08","0,17","1,73","0,08","0,64","0,17","0,25","13,59","0,21",nekandiduje
599441,Stradonice,95,45,45,"11,11","0,00","0,00","6,66",nekandiduje,"0,00","0,00","17,77","0,00","0,00",nekandiduje,"2,22","0,00","0,00",2,nekandiduje,"0,00",nekandiduje,"0,00","2,22","33,33","0,00","2,22","2,22","0,00","0,00","0,00","0,00","17,77","0,00",nekandiduje
551457,Studenìves,357,215,215,"14,41","0,46","0,00","2,32",nekandiduje,"0,00","7,90","7,44","0,46","1,39",nekandiduje,"1,39","0,00","0,00",29,nekandiduje,"0,00",nekandiduje,"0,00","5,11","31,62","0,00","0,00","5,58","0,00","1,39","0,00","0,46","6,51","0,00",nekandiduje
599433,Svárov,429,306,303,"17,16","0,00","0,00","3,96",nekandiduje,"0,00","15,18","3,30","0,66","0,33",nekandiduje,"2,64","0,33","0,00",47,nekandiduje,"0,00",nekandiduje,"0,33","8,25","17,82","0,33","0,00","3,30","0,00","0,66","0,00","0,00","10,23","0,00",nekandiduje
532908,Svinaøov,578,364,359,"13,09","0,55","0,00","11,69",nekandiduje,"0,00","3,06","10,58","0,55","0,55",nekandiduje,"0,83","0,55","0,00",32,nekandiduje,"0,00",nekandiduje,"0,00","3,62","32,31","0,27","0,55","1,11","0,00","0,83","0,00","0,00","10,58","0,27",nekandiduje
532916,Šlapanice,143,79,79,"13,92","0,00","0,00","17,72",nekandiduje,"0,00","1,26","13,92","2,53","2,53",nekandiduje,"0,00","0,00","0,00",6,nekandiduje,"0,00",nekandiduje,"0,00","6,32","22,78","0,00","0,00","2,53","0,00","0,00","0,00","0,00","8,86","0,00",nekandiduje
532959,Tøebichovice,471,283,283,"12,01","0,35","0,00","2,82",nekandiduje,"0,00","4,59","10,95","0,70","1,41",nekandiduje,"0,70","0,00","0,00",25,nekandiduje,"0,00",nekandiduje,"0,00","4,24","40,98","0,00","0,00","1,41","0,35","1,06","0,35","1,06","7,77","0,35",nekandiduje
532967,Tøebíz,190,144,143,"18,88","0,00","0,00","5,59",nekandiduje,"0,00","3,49","9,79","1,39","1,39",nekandiduje,"0,69","0,00","0,69",18,nekandiduje,"0,00",nekandiduje,"0,00","3,49","32,16","0,00","0,00","0,69","0,00","0,00","0,00","0,00","9,09","0,00",nekandiduje
532975,Tøebusice,418,246,242,"7,85","0,00","0,00","5,78",nekandiduje,"0,00","4,54","12,39","2,06","0,41",nekandiduje,"1,23","0,00","0,00",21,nekandiduje,"0,00",nekandiduje,"0,41","2,47","35,95","0,00","0,00","1,65","0,00","0,41","0,41","0,41","14,87","0,41",nekandiduje
532983,Tuchlovice,1 983,1 314,1 305,"12,95","0,15","0,15","5,44",nekandiduje,"0,07","14,09","9,27","1,76","0,61",nekandiduje,"1,30","0,15","0,00",134,nekandiduje,"0,00",nekandiduje,"0,00","3,60","28,04","0,15","0,07","1,37","0,00","0,22","0,15","0,07","9,73","0,30",nekandiduje
532177,Tuøany,479,293,292,"8,56","0,00","0,00","5,82",nekandiduje,"0,34","4,10","10,95","2,05","0,68",nekandiduje,"1,36","0,00","0,34",39,nekandiduje,"0,00",nekandiduje,"2,39","1,71","32,19","0,00","0,00","1,02","0,00","0,00","0,00","0,34","14,72","0,00",nekandiduje
533009,Uhy,288,148,148,"10,81","0,00","0,00","5,40",nekandiduje,"0,67","6,75","12,16","2,70","0,67",nekandiduje,"2,02","0,00","0,67",17,nekandiduje,"0,00",nekandiduje,"0,00","2,70","31,08","0,00","0,00","0,00","0,00","2,02","0,00","0,67","9,45","0,67",nekandiduje
533017,Unhoš,3 626,2 396,2 376,"14,52","0,08","0,08","6,90",nekandiduje,"0,12","4,79","6,43","1,59","0,54",nekandiduje,"2,35","0,12","0,21",341,nekandiduje,"0,04",nekandiduje,"0,12","10,18","25,58","0,12","0,16","2,86","0,00","0,63","0,08","0,12","7,70","0,21",nekandiduje
533025,Velká Dobrá,1 365,995,988,"17,71","0,10","0,00","5,36",nekandiduje,"0,30","6,47","4,95","0,91","1,31",nekandiduje,"1,31","0,10","0,00",122,nekandiduje,"0,30",nekandiduje,"0,00","7,38","29,55","0,00","0,30","2,53","0,00","0,70","0,00","0,40","7,79","0,10",nekandiduje
533033,Velké Pøítoèno,805,535,533,"12,00","0,00","0,00","3,93",nekandiduje,"0,00","4,87","7,31","1,68","0,56",nekandiduje,"2,25","0,18","0,18",77,nekandiduje,"0,00",nekandiduje,"0,00","6,19","29,26","0,00","0,00","1,68","0,56","0,93","0,00","0,18","13,50","0,18",nekandiduje
533041,Velvary,2 472,1 448,1 440,"11,18","0,34","0,00","8,95",nekandiduje,"0,06","7,98","10,62","2,01","1,45",nekandiduje,"0,97","0,20","0,06",130,nekandiduje,"0,00",nekandiduje,"0,00","3,95","27,63","0,06","0,27","2,01","0,13","0,83","0,06","0,34","11,66","0,06",nekandiduje
533050,Vinaøice,1 984,1 223,1 219,"8,03","0,00","0,16","7,62",nekandiduje,"0,24","3,44","10,50","1,06","1,14",nekandiduje,"1,64","0,32","0,08",140,nekandiduje,"0,08",nekandiduje,"0,00","3,77","35,43","0,08","0,49","0,98","0,00","0,65","0,32","0,73","11,32","0,32",nekandiduje
533068,Vranı,580,309,308,"5,84","0,32","0,32","8,44",nekandiduje,"0,00","6,16","11,36","0,64","1,62",nekandiduje,"2,92","0,00","0,00",29,nekandiduje,"0,00",nekandiduje,"0,00","1,62","35,71","0,00","0,32","4,22","0,00","0,00","0,00","0,00","11,03","0,00",nekandiduje
571431,Vrbièany,187,88,88,"3,40","2,27","1,13","7,95",nekandiduje,"0,00","0,00","22,72","1,13","0,00",nekandiduje,"0,00","0,00","0,00",8,nekandiduje,"0,00",nekandiduje,"0,00","0,00","38,63","0,00","0,00","0,00","0,00","1,13","0,00","0,00","12,50","0,00",nekandiduje
571598,Zájezd,92,58,57,"17,54","0,00","0,00","3,50",nekandiduje,"0,00","8,77","5,26","0,00","3,50",nekandiduje,"3,50","1,75","0,00",2,nekandiduje,"0,00",nekandiduje,"0,00","1,75","33,33","0,00","0,00","0,00","0,00","0,00","0,00","3,50","14,03","0,00",nekandiduje
533092,Zákolany,454,287,287,"10,10","0,00","0,00","6,96",nekandiduje,"0,34","11,14","11,14","1,74","0,34",nekandiduje,"1,04","0,00","0,34",39,nekandiduje,"0,00",nekandiduje,"0,69","5,57","21,60","0,00","0,00","3,48","0,00","1,74","0,00","0,00","10,10","0,00",nekandiduje
571423,Zichovec,119,105,105,"15,23","0,00","0,00","9,52",nekandiduje,"0,00","16,19","5,71","2,85","0,00",nekandiduje,"0,95","0,00","0,00",9,nekandiduje,"0,00",nekandiduje,"0,00","2,85","31,42","0,00","0,95","3,80","0,00","0,00","0,00","0,00","1,90","0,00",nekandiduje
533114,Zlonice,1 806,881,876,"7,99","0,11","0,00","6,84",nekandiduje,"0,22","4,45","11,98","1,48","1,71",nekandiduje,"1,71","0,11","0,00",61,nekandiduje,"0,11",nekandiduje,"0,00","2,16","35,27","0,22","0,22","1,82","0,00","0,57","0,22","0,91","14,61","0,22",nekandiduje
533122,Zvolenìves,701,364,364,"9,89","0,27","0,00","7,14",nekandiduje,"0,00","1,64","11,81","1,64","0,00",nekandiduje,"1,92","0,00","0,00",43,nekandiduje,"0,00",nekandiduje,"0,00","4,39","32,41","0,00","0,00","1,92","0,00","0,27","0,00","0,00","14,83","0,00",nekandiduje
599425,elenice,151,91,91,"1,09","0,00","0,00","10,98",nekandiduje,"0,00","2,19","12,08","1,09","1,09",nekandiduje,"0,00","0,00","0,00",11,nekandiduje,"0,00",nekandiduje,"0,00","4,39","42,85","0,00","0,00","5,49","0,00","1,09","0,00","0,00","5,49","0,00",nekandiduje
533149,ilina,645,427,425,"11,29","0,00","0,00","6,82",nekandiduje,"0,00","6,82","12,70","1,41","0,70",nekandiduje,"2,58","0,23","0,00",49,nekandiduje,"0,00",nekandiduje,"0,00","4,47","24,23","0,23","0,47","2,35","0,00","0,47","0,23","0,00","13,17","0,23",nekandiduje
533157,iice,487,298,296,"14,52","0,33","0,00","5,40",nekandiduje,"0,00","5,74","9,12","1,01","1,01",nekandiduje,"0,33","0,33","0,00",40,nekandiduje,"0,00",nekandiduje,"0,00","2,02","36,14","0,00","0,33","0,00","0,00","0,00","0,67","0,33","9,12","0,00",nekandiduje
