KÓD,MÌSTO,VOLIÈI V SEZNAMU,VYDANÉ OBALKY,PLATNÉ HLASY,Obèanská demokratická strana v %,Øád národa - Vlastenecká unie v %,CESTA ODPOVÌDNÉ SPOLEÈNOSTI v %,Èeská str.sociálnì demokratická v %,Cibulka v %,Radostné Èesko v %,STAROSTOVÉ A NEZÁVISLÍ v %,Komunistická str.Èech a Moravy v %,Strana zelenıch v %,"ROZUMNÍ-stop migraci,diktát.EU v %",Spoleè.proti vıst.v Prok.údolí v %,Strana svobodnıch obèanù v %,Blok proti islam.-Obran.domova v %,Obèanská demokratická aliance v %,Èeská pirátská strana v %,OBÈANÉ 2011-SPRAVEDL. PRO LIDI v %,Unie H.A.V.E.L. v %,Èeská národní fronta v %,Referendum o Evropské unii v %,TOP 09 v %,ANO 2011 v %,Dobrá volba 2016 v %,SPR-Republ.str.Èsl. M.Sládka v %,Køes.demokr.unie-Ès.str.lid. v %,Èeská strana národnì sociální v %,REALISTÉ v %,SPORTOVCI v %,Dìlnic.str.sociální spravedl. v %,Svob.a pø.dem.-T.Okamura (SPD) v %,Strana Práv Obèanù v %,Narod_sobì v %
544370,Lideèko,1 436,916,913,"4,27","0,21","0,00","2,84",nekandiduje,"0,10","2,08","2,62","0,65","0,65",nekandiduje,"1,09","0,00","0,00","5,80",nekandiduje,nekandiduje,nekandiduje,"0,00","1,42","22,01","0,10","0,21","46,65",nekandiduje,"0,10","0,00","0,10","8,98","0,00",nekandiduje
544396,Liptál,1 205,719,714,"10,92","0,14","0,00","6,16",nekandiduje,"0,28","6,02","4,34","1,26","0,56",nekandiduje,"3,22","0,00","0,00","8,68",nekandiduje,nekandiduje,nekandiduje,"0,14","3,08","24,92","0,00","0,42","7,28",nekandiduje,"0,56","0,00","0,14","21,00","0,84",nekandiduje
544418,Louèka,637,406,403,"10,17","0,24","0,00","4,71",nekandiduje,"0,00","7,69","5,45","0,74","0,49",nekandiduje,"1,73","0,74","0,24","3,72",nekandiduje,nekandiduje,nekandiduje,"0,00","2,97","39,70","0,00","0,24","7,69",nekandiduje,"0,49","0,24","0,24","12,15","0,24",nekandiduje
544434,Luná,502,310,310,"2,58","0,00","0,00","4,19",nekandiduje,"0,00","8,70","6,45","0,96","1,29",nekandiduje,"0,64","0,00","0,00","6,45",nekandiduje,nekandiduje,nekandiduje,"0,00","1,61","27,74","0,00","0,32","23,87",nekandiduje,"0,32","0,00","0,00","14,51","0,32",nekandiduje
544469,Malá Bystøice,276,184,183,"6,55","0,00","0,00","11,47",nekandiduje,"0,00","4,91","8,74","0,54","1,63",nekandiduje,"2,73","0,00","0,54","13,11",nekandiduje,nekandiduje,nekandiduje,"0,00","4,91","25,13","0,00","0,00","10,38",nekandiduje,"0,00","1,09","0,00","8,19","0,00",nekandiduje
544507,Mikulùvka,601,349,346,"11,84","0,00","0,57","5,49",nekandiduje,"0,00","6,35","6,64","2,60","0,00",nekandiduje,"1,73","0,28","0,00","9,53",nekandiduje,nekandiduje,nekandiduje,"0,00","5,49","26,30","0,00","0,00","6,35",nekandiduje,"0,57","0,28","0,28","15,02","0,57",nekandiduje
544566,Novı Hrozenkov,2 173,1 115,1 110,"10,54","0,09","0,09","12,34",nekandiduje,"0,09","3,33","5,22","1,44","0,63",nekandiduje,"1,80","0,18","0,18","6,21",nekandiduje,nekandiduje,nekandiduje,"0,18","2,70","20,27","0,00","0,27","18,91",nekandiduje,"0,45","0,18","0,18","13,69","0,99",nekandiduje
544574,Oznice,370,285,283,"7,42","0,00","0,00","5,30",nekandiduje,"0,00","6,36","3,53","0,70","0,70",nekandiduje,"2,12","0,00","0,00","10,95",nekandiduje,nekandiduje,nekandiduje,"0,00","2,47","37,10","0,00","0,00","8,83",nekandiduje,"0,35","0,00","0,00","14,13","0,00",nekandiduje
569496,Podolí,200,113,113,"4,42","0,00","0,00","9,73",nekandiduje,"0,00","6,19","7,96","0,88","0,00",nekandiduje,"5,30","0,00","0,00","0,00",nekandiduje,nekandiduje,nekandiduje,"0,00","0,88","34,51","0,00","0,00","15,92",nekandiduje,"0,88","0,00","0,00","13,27","0,00",nekandiduje
544621,Police,445,279,277,"7,94","0,00","0,36","3,61",nekandiduje,"0,00","5,77","4,33","0,36","1,44",nekandiduje,"0,72","0,00","0,00","11,55",nekandiduje,nekandiduje,nekandiduje,"0,36","1,08","33,93","0,00","0,00","12,99",nekandiduje,"0,00","0,00","0,00","15,16","0,36",nekandiduje
